                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
 {a#,app,app!,bee,bpr,ebe,eig,g#,ghb,gri,gri!,hbp,hpo,igh,ill,leb,n#,nei,nei!,ple,pod,ppl,prh,rhp,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                   |   0.769231
 {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoi,igh,ill,iod,leb,n#,nri,nri!,oio,orh,ple,ppl,rho,rig,ril,s}                                                   | {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                   |   0.777778
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bry,ebe,eig,g#,ghb,gri,gri!,hbr,igh,iol,leb,n#,nei,nei!,oll,ood,ple,ppl,rio,ryo,s,yoo}                                                   |   0.730769
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bry,ebe,eig,g#,ghb,gri,gri!,hbr,igh,iol,leb,n#,nei,nei!,oll,ood,ple,ppl,rio,ryo,s,yoo}                                                   |   0.730769
 {a#,apl,apl!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,kll,leb,n#,nei,nei!,ood,orh,ple,rho,rik,s}                                                       | {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,leb,n#,nig,nig!,ood,orh,ple,ppl,rho,rik,s}                                                       |   0.769231
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,leb,n#,nig,nig!,ood,orh,ple,ppl,rho,rik,s}                                                       |   0.807692
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,leb,n#,nig,nig!,ood,orh,ple,ppl,rho,rik,s}                                                       |   0.807692
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,oop,opd,orh,ple,ppl,rho,ril,s}                                                   | {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,leb,n#,nig,nig!,ood,orh,ple,ppl,rho,rik,s}                                                       |   0.740741
 {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoi,igh,ill,iod,leb,n#,nri,nri!,oio,orh,ple,ppl,rho,rig,ril,s}                                                   | {a#,app,app!,bee,bor,ebe,g#,ghb,gri,gri!,hbo,hoo,igh,ikl,leb,n#,nig,nig!,ood,orh,ple,ppl,rho,rik,s}                                                       |   0.703704
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a,a#,app,app!,bor,bre,ebr,eig,g#,ghb,gri,gri!,hbo,igh,ill,leb,n#,nei,nei!,old,ool,oro,ple,ppl,ril,roo}                                                   |   0.730769
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a,a#,app,app!,bor,bre,ebr,eig,g#,ghb,gri,gri!,hbo,igh,ill,leb,n#,nei,nei!,old,ool,oro,ple,ppl,ril,roo}                                                   |   0.730769
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,oop,opd,orh,ple,ppl,rho,ril,s}                                                   | {a,a#,app,app!,bor,bre,ebr,eig,g#,ghb,gri,gri!,hbo,igh,ill,leb,n#,nei,nei!,old,ool,oro,ple,ppl,ril,roo}                                                   |   0.703704
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bpr,ebe,eig,g#,ghb,gri,gri!,hbp,hoo,igh,ill,loe,n#,nei,nei!,oeb,ood,plo,ppl,prh,rho,ril,s}                                               |   0.777778
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,ood,orh,ple,ppl,rho,ril,s}                                                       | {a#,app,app!,bee,bpr,ebe,eig,g#,ghb,gri,gri!,hbp,hoo,igh,ill,loe,n#,nei,nei!,oeb,ood,plo,ppl,prh,rho,ril,s}                                               |   0.777778
 {a#,app,app!,bee,bor,ebe,eig,g#,ghb,gri,gri!,hbo,hoo,igh,ill,leb,n#,nei,nei!,oop,opd,orh,ple,ppl,rho,ril,s}                                                   | {a#,app,app!,bee,bpr,ebe,eig,g#,ghb,gri,gri!,hbp,hoo,igh,ill,loe,n#,nei,nei!,oeb,ood,plo,ppl,prh,rho,ril,s}                                               |   0.740741
 {a#,app,app!,bee,bpr,ebe,eig,g#,ghb,gri,gri!,hbp,hpo,igh,ill,leb,n#,nei,nei!,ple,pod,ppl,prh,rhp,ril,s}                                                       | {a#,app,app!,bee,bpr,ebe,eig,g#,ghb,gri,gri!,hbp,hoo,igh,ill,loe,n#,nei,nei!,oeb,ood,plo,ppl,prh,rho,ril,s}                                               |   0.777778
 {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |   0.714286
 {a#,aga,aga!,ant,aur,ave,est,gav,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |   0.733333
 {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |   0.733333
 {a#,ant,ari,ari!,aur,est,fan,r#,res,res!,rfa,ria,sta,tau,urf}                                                                                                 | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |        0.8
 {ant,aur,b,est,r#,ran,res,res!,sta,tau,ura}                                                                                                                   | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |   0.714286
 {ant,aur,c#,cib,cib!,est,ibo,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |   0.714286
 {ant,aur,c#,col,col!,est,ole,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {a#,ant,ari,ari!,aur,est,r#,ran,res,res!,ria,sta,tau,ura}                                                                                                 |   0.714286
 {a#,ant,art,art!,aur,est,ist,r#,ran,res,res!,rti,sta,tau,tis,ura}                                                                                             | {a#,ant,art,art!,aur,est,ius,r#,ran,res,res!,rti,sta,tau,tiu,ura,ust}                                                                                     |   0.823529
 {a#,asi,asi!,b#,bar,bar!,dle,ian,n#,noo,noo!,odl,ood,sia}                                                                                                     | {a#,asi,asi!,b#,bar,bar!,dle,ian,n#,noo,noo!,odl,ood,sia}                                                                                                 |          1
 {a#,akh,ant,atl,atl!,eak,gis,hou,kho,lan,ntg,ous,s#,ste,ste!,tea,tgi,tla}                                                                                     | {a#,akh,ant,atl,atl!,eak,hou,kho,lan,nti,ous,s#,ste,ste!,tea,tis,tla,use}                                                                                 |   0.833333
