                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
 {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {abt,aur,b#,bj,bre,bre!,est,ewh,hou,oue,r#,rab,res,res!,rew,s,sta,tau,ura,who}                                                                            |   0.714286
 {ant,aur,b#,bj,brd,brd!,dwh,est,hou,ous,r#,ran,rdw,res,res!,sd,sta,tau,ura,use,who}                                                                           | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 {asn,aur,b#,bj,bre,bre!,esg,ewh,gau,hou,ous,r#,ras,res,res!,rew,s,sga,snt,ura,use,who}                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.727273
 {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.809524
 {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.708333
 {ant,aur,b#,bj,brd,brd!,dwh,est,hou,ous,r#,ran,rdw,res,res!,sd,sta,tau,ura,use,who}                                                                           | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 {asn,aur,b#,bj,bre,bre!,esg,ewh,gau,hou,ous,r#,ras,res,res!,rew,s,sga,snt,ura,use,who}                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.727273
 {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.809524
 {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.708333
 {ant,aur,b#,bj,brd,brd!,dwh,est,hou,ous,r#,ran,rdw,res,res!,sd,sta,tau,ura,use,who}                                                                           | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 {asn,aur,b#,bj,bre,bre!,esg,ewh,gau,hou,ous,r#,ras,res,res!,rew,s,sga,snt,ura,use,who}                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.727273
 {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.809524
 {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.761905
 {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,ous,r#,ran,res,res!,rew,s,sta,tau,ura,use,who}                                                                        |   0.708333
 {aue,b#,bj,bre,bre!,eqn,est,ewh,hou,ous,qnt,r#,res,res!,rew,s,sta,tau,ueq,use,who}                                                                            | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,oux,r#,ran,res,res!,rew,s,sta,tau,ura,uxe,who}                                                                        |   0.714286
 {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,oux,r#,ran,res,res!,rew,s,sta,tau,ura,uxe,who}                                                                        |   0.761905
 {ant,aur,b#,bj,bre,bre!,ean,est,ewh,hou,isx,oui,r#,rea,res,res!,rew,s,sta,sxe,tau,uis,ure,who}                                                                | {ant,aur,b#,bj,bre,bre!,est,ewh,hou,oux,r#,ran,res,res!,rew,s,sta,tau,ura,uxe,who}                                                                        |   0.708333
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,ahg,ahg!,akh,b#,bla,bla!,eak,gus,hgu,hou,kho,lac,ous,s#,ste,ste!,tea,use}                                                                         |       0.85
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,ahg,ahg!,akh,b#,bla,bla!,eak,gus,hgu,hou,kho,lac,ous,s#,ste,ste!,tea,use}                                                                         |       0.85
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hno,khn,lac,ngu,nou,ous,s#,ste,ste!,tea,use}                                                                     |   0.857143
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hno,khn,lac,ngu,nou,ous,s#,ste,ste!,tea,use}                                                                     |   0.857143
 {a#,ako,ang,ang!,b#,bla,bla!,eak,gus,kou,lak,ngu,ous,s#,ste,ste!,tea,use}                                                                                     | {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hno,khn,lac,ngu,nou,ous,s#,ste,ste!,tea,use}                                                                     |   0.714286
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,akh,ang,ang!,b#,bla,bla!,ewa,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,swe,tew,usw,wak}                                                                 |   0.772727
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,akh,ang,ang!,b#,bla,bla!,ewa,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,swe,tew,usw,wak}                                                                 |   0.772727
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,sye,sye!,use,yea}                                                                         |       0.85
 {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,ste,ste!,tea,use}                                                                             | {a#,ack,akh,ang,ang!,b#,bla,bla!,eak,gus,hou,kho,lac,ngu,ous,s#,sye,sye!,use,yea}                                                                         |       0.85
 {ack,ant,aur,b#,bir,bla,bla!,ckb,est,ird,kbi,lac,r#,ran,res,res!,sta,tau,ura}                                                                                 | {ack,ant,aue,b#,bir,bla,bla!,ckb,ean,est,irc,kbi,lac,r#,res,res!,sta,tau,uea}                                                                             |   0.789474
 {ack,ant,aur,b#,bla,bla!,e#,est,eye,eye!,lac,nts,p#,pea,pea!,r#,ran,res,res!,sta,tau,ura,yed}                                                                 | {ack,ant,aur,b#,bla,bla!,dst,e#,eds,ehe,ehe!,hed,lac,nts,p#,pea,pea!,r#,ran,red,red!,sta,tau,ura}                                                         |   0.708333
 {ack,ant,aur,b#,bir,bla,bla!,ckb,est,ird,kbi,lac,r#,ran,res,res!,sta,tau,ura}                                                                                 | {ack,ant,aur,b#,bla,bla!,cki,est,hrj,ith,kit,lac,pb,r#,ran,res,res!,sta,tau,thr,ura}                                                                      |   0.714286
 {acf,b#,bla,bla!,eep,hee,lac,p#,pub,pub!,s#,she,she!}                                                                                                         | {asc,b#,bla,bla!,hee,las,p#,pub,pub!,s#,sck,she,she!}                                                                                                     |   0.769231
 {amb,b#,bam,bam!,boo,bul,bul!,c#,cho,cho!,cks,hop,ick,l#,lee,lee!,mbo,ops,pst,s,sti,tic,ull}                                                                  | {0st,amb,b#,bam,bam!,bll,bll!,boo,c#,cho,cho!,cks,hoo,ick,ksw,l#,lee,lee!,mbo,o0s,oo0,s,sti,tic}                                                          |   0.708333
 {b#,blo,blo!,d#,die,die!,f#,fis,for,for!,ish,low,owf,s#,shi,sus,sus!,to,ush,wfi}                                                                              | {b#,blo,blo!,d#,die,die!,f#,fis,for,for!,ish,low,owf,s#,shi,sus,sus!,to,ush,wfi}                                                                          |          1
 {a#,aga,aga!,ave,b#,blu,blu!,c#,clu,clu!,gav,lub,lue}                                                                                                         | {a#,aga,aga!,ave,b#,blu,blu!,c#,clu,clu!,gav,lub,lue}                                                                                                     |          1
 {a#,aga,aga!,ant,aur,ave,b#,blu,blu!,can,est,exi,gav,ica,lue,m#,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                     | {a#,aga,aga!,ant,aur,ave,b#,blu,blu!,can,esw,exc,gav,lue,m#,mex,mex!,r#,ran,res,res!,swt,tau,ura,wta,xca}                                                 |   0.807692
 {amb,b#,bam,bam!,blu,blu!,boo,lue,mbo}                                                                                                                        | {amb,b#,bam,bam!,blu,blu!,boo,lue,mbo}                                                                                                                    |          1
 {afe,b#,blu,blu!,c#,caf,caf!,cit,cit!,ity,lue}                                                                                                                | {afg,b#,blu,blu!,c#,caf,caf!,cit,cit!,fge,ity,lue}                                                                                                        |   0.833333
 {b#,blu,blu!,eho,hou,lue,our,ueh}                                                                                                                             | {b#,blu,blu!,eho,hou,lue,our,ueh}                                                                                                                         |          1
 {b#,ble,ble!,esa,g#,gri,gri!,ill,m#,mes,mes!,ril}                                                                                                             | {b#,blu,blu!,esa,g#,gri,gri!,ill,lue,m#,mes,mes!,ril}                                                                                                     |   0.769231
 {ant,ara,arl,aur,b#,bar,bar!,blu,blu!,c#,cha,cha!,est,har,lot,lue,ott,r#,ran,res,res!,rlo,sta,stu,tau,tte,tua,uar,ura}                                        | {ant,ara,arl,aur,b#,bar,bar!,blu,blu!,c#,cha,cha!,est,har,ltt,lue,r#,ran,res,res!,rlt,sta,stu,tau,tte,tua,uar,ura}                                        |   0.896552
 {ant,aur,b#,blu,blu!,est,ill,lue,ow,r#,ran,res,res!,sta,tau,ura,w#,wil,wil!}                                                                                  | {ant,aur,b#,blu,blu!,est,ill,llo,low,lue,r#,ran,res,res!,sta,tau,ura,w#,wil,wil!}                                                                         |        0.9
 {ant,b#,boc,boc!,c#,chi,chi!,est,hic,ica,nte,oca,r#,ran,res,res!,stz,tzu,ura,zur}                                                                             | {ant,b#,boc,boc!,c#,chu,chu!,est,hux,nte,oca,r#,ran,res,res!,stz,ted,tzu,ura,uxa,zur}                                                                     |   0.761905
 {afe,b#,blh,blh!,c#,caf,caf!,emi,hem,ian,lhe,mia}                                                                                                             | {afe,b#,boh,boh!,c#,caf,caf!,emi,hem,ian,mia,ohe}                                                                                                         |       0.75
 {b#,bon,bon!,c#,cui,cui!,ell,exa,f#,fin,fin!,ine,isi,nel,nne,onn,s,sin,t#,tex,tex!,uis,xas}                                                                   | {b#,bon,bon!,c#,cui,cui!,ell,exa,f#,fin,fin!,ine,isw,nel,nne,onn,s,swi,t#,tex,tex!,uis,win,xas}                                                           |      0.875
 {ant,ark,aur,b#,bos,bos!,esw,ket,m#,mar,mar!,nts,ost,r#,ran,res,res!,rke,sto,swt,tau,ton,ura,wta}                                                             | {ant,ark,aur,b#,bos,bos!,est,ket,m#,mar,mar!,nts,oso,r#,ran,res,res!,rke,son,sta,tau,ura}                                                                 |       0.75
 {ali,ant,aur,b#,bou,bou!,ega,est,i#,ian,ita,ita!,lia,out,r#,ran,res,res!,sta,tal,tau,teg,tte,ura,utt}                                                         | {ali,ant,aur,b#,bot,bot!,ega,est,i#,ian,ita,ita!,lia,ott,r#,ran,res,res!,sta,tal,tau,teg,tte,ura}                                                         |       0.84
 {ali,anc,ant,aur,b#,bia,bia!,ca,est,i#,ian,ita,ita!,lin,nca,r#,ran,res,res!,sta,tal,tau,ura}                                                                  | {ali,ant,aur,b#,bot,bot!,ega,est,i#,ian,ita,ita!,lia,ott,r#,ran,res,res!,sta,tal,tau,teg,tte,ura}                                                         |   0.708333
 {a#,and,and!,ant,ark,aur,b#,bot,bot!,ega,est,g#,gou,gou!,ker,l#,lol,lol!,lui,m#,mar,mar!,met,olu,ott,our,r#,ran,res,res!,rke,rme,sta,tau,teg,tte,uie,ura,urm} | {a#,and,and!,ant,ark,aur,b#,bot,bot!,ega,est,g#,gou,gou!,ket,l#,lou,lou!,m#,mar,mar!,met,ott,oui,our,r#,ran,res,res!,rke,rme,sta,tau,teg,tte,uie,ura,urm} |   0.871795
 {alk,b#,bis,bis!,bou,bou!,dro,era,exa,ist,ive,on,oud,r#,ral,riv,riv!,s,str,t#,tex,tex!,the,the!,tro,udr,ver,xas}                                              | {alk,b#,bis,bis!,bou,bou!,dro,dxa,erw,ist,ive,ob,oud,r#,riv,riv!,rwa,s,str,t#,tdx,tdx!,the,the!,tro,udr,ver,wal,xas}                                      |   0.758621
 {ant,aur,b#,bou,bou!,dry,est,ndr,oun,r#,ran,res,res!,sta,tau,und,ura}                                                                                         | {ant,aur,b#,bou,bou!,dry,est,ndr,oun,r#,ran,res,res!,sta,tau,und,ura}                                                                                     |          1
 {ant,aur,b#,bj,bre,bre!,est,ewo,r#,ran,res,res!,rew,s,sta,tau,ura,woe}                                                                                        | {ant,aur,b#,bre,bre!,enn,est,r#,ran,ren,res,res!,s,sta,tau,ura}                                                                                           |   0.777778
 {ant,aur,b#,baq,bre,bre!,enb,est,nba,r#,ran,ren,res,res!,s,sta,tau,ura}                                                                                       | {ant,aur,b#,bre,bre!,enn,est,r#,ran,ren,res,res!,s,sta,tau,ura}                                                                                           |   0.833333
 {ant,aur,b,est,r#,ran,res,res!,sta,tau,ura}                                                                                                                   | {ant,b,est,qur,r#,ran,res,res!,stq,tqu,ura}                                                                                                               |   0.727273
 {a#,art,art!,b#,bre,bre!,ewe,rew,s,wer}                                                                                                                       | {a#,art,art!,b#,bre,bre!,ewe,rew,s,wer}                                                                                                                   |          1
 {abt,aur,b#,bri,bri!,est,ick,r#,rab,res,res!,ric,sta,tau,ura}                                                                                                 | {ant,aur,b#,bri,bri!,est,ick,r#,ran,res,res!,ric,sta,tau,ura}                                                                                             |   0.866667
 {ant,aur,b#,bfe,bfe!,bri,bri!,ckt,ery,est,ewe,few,ick,kto,oen,r#,ran,res,res!,ric,sta,tau,toe,ura,wer}                                                        | {ant,aur,b#,bre,bre!,bri,bri!,ckt,ery,est,ewe,ick,kto,own,r#,ran,res,res!,rew,ric,sta,tau,tow,ura,wer}                                                    |        0.8
 {b#,bri,bri!,can,e,g#,gri,gri!,rio,sca,t#,tus,tus!,usc}                                                                                                       | {azn,b#,bri,bri!,caz,g#,gri,gri!,ill,lle,ril,rio,sca,t#,tus,tus!,usc}                                                                                     |   0.705882
 {ant,ara,b#,bri,bri!,est,r#,ran,res,res!,rix,sta,tar}                                                                                                         | {auy,b#,bri,bri!,est,r#,ran,res,res!,rix,sta,tau,uyr,yra}                                                                                                 |   0.714286
 {b#,bri,bri!,f#,fed,fir,fir!,irf,ixx,izz,ood,p#,piz,piz!,rfe,rix,w#,woo,woo!,zza}                                                                             | {b#,bri,bri!,f#,fir,fir!,ire,ixx,izz,ood,p#,piz,piz!,red,rix,w#,woo,woo!,zza}                                                                             |       0.85
 {any,b#,bro,bro!,c#,com,com!,ioz,kly,lyn,mpa,okl,omp,ook,ozz,p#,pan,pio,pio!,roo,zza}                                                                         | {any,b#,bro,bro!,c#,com,com!,izz,kly,lyn,mpa,okl,omp,ook,p#,pan,piz,piz!,roo,zza}                                                                         |   0.809524
 {b#,bro,bro!,c#,com,com!,izz,kly,lyn,mpn,okl,omp,ook,p#,piz,piz!,pny,roo,zza}                                                                                 | {any,b#,bro,bro!,c#,com,com!,izz,kly,lyn,mpa,okl,omp,ook,p#,pan,piz,piz!,roo,zza}                                                                         |       0.85
 {any,b#,bro,bro!,c#,com,com!,ioz,kly,lyn,mpa,okl,omp,ook,ozz,p#,pan,pio,pio!,roo,zza}                                                                         | {any,b#,bro,bro!,c#,com,com!,izz,kly,lyn,mpa,okl,omp,ook,p#,pan,piz,piz!,roo,zza}                                                                         |   0.809524
 {b#,bro,bro!,c#,com,com!,izz,kly,lyn,mpn,okl,omp,ook,p#,piz,piz!,pny,roo,zza}                                                                                 | {any,b#,bro,bro!,c#,com,com!,izz,kly,lyn,mpa,okl,omp,ook,p#,pan,piz,piz!,roo,zza}                                                                         |       0.85
 {apa,arr,b#,bar,bar!,l#,lou,lou!,nge,oun,pas,rio,rri,t#,tap,tap!,ung}                                                                                         | {aps,b#,brr,brr!,l#,lou,lou!,nge,oun,rio,rri,t#,tap,tap!,ung}                                                                                             |   0.705882
 {asa,azi,b#,bra,bra!,eak,g#,gri,gri!,ian,ili,ill,lia,ras,raz,ril,s#,ste,ste!,tea,zil}                                                                         | {azi,azn,b#,bra,bra!,brs,brs!,eak,g#,gri,gri!,iaz,ili,ill,lia,raz,ril,rsa,s#,ste,ste!,tea,zil}                                                            |   0.782609
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,mnp,rim,s#,shr,shr!,ubb,umn}                                                                                          | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                          |   0.882353
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imj,mjp,rim,s#,shr,shr!,ubb,ump}                                                                                          | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                          |   0.882353
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                          |          1
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                          |          1
 {ant,aur,b#,bba,bub,bub!,co,est,g#,gum,gum!,hri,imp,ntg,r#,ran,res,res!,rim,s#,shr,shr!,sta,tau,ubb,ump,ura}                                                  | {ant,aur,b#,bba,bub,bub!,co,est,g#,gum,gum!,hri,imp,r#,ran,res,res!,rim,s#,shr,shr!,sta,tau,ubb,ump,ura}                                                  |   0.962963
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,mnp,rim,s#,shr,shr!,ubb,umn}                                                                                          | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |   0.764706
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imj,mjp,rim,s#,shr,shr!,ubb,ump}                                                                                          | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |   0.705882
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |     0.8125
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bba,bub,bub!,co,g#,gup,gup!,hri,imp,rim,s#,shr,shr!,ubb}                                                                                              |     0.8125
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imj,mjp,rim,s#,shr,shr!,ubb,ump}                                                                                          | {b#,bgb,bub,bub!,co,g#,gba,gum,gum!,hri,inp,rin,s#,shr,shr!,ubg,ump}                                                                                      |   0.705882
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bgb,bub,bub!,co,g#,gba,gum,gum!,hri,inp,rin,s#,shr,shr!,ubg,ump}                                                                                      |   0.705882
 {b#,bba,bub,bub!,co,g#,gum,gum!,hri,imp,rim,s#,shr,shr!,ubb,ump}                                                                                              | {b#,bgb,bub,bub!,co,g#,gba,gum,gum!,hri,inp,rin,s#,shr,shr!,ubg,ump}                                                                                      |   0.705882
 {ana,apo,b#,beo,beo!,buc,buc!,d#,di,dia,dow,dow!,eop,i#,ian,ind,ind!,lis,nap,ndi,nto,oli,opo,own,pol,tow,uca,wnt}                                             | {anp,b#,bep,bep!,buc,buc!,d#,di,dia,dow,dow!,epo,i#,ian,ind,ind!,lis,ndi,npo,nto,oli,own,pol,tow,uca,wnt}                                                 |       0.75
 {ati,b#,bdp,bdp!,buc,buc!,c#,cin,cin!,com,com!,di,dpp,inc,inn,iwo,mmo,mon,nat,nci,nna,oiw,omm,ons,ood,ooi,ppo,r#,roo,roo!,uca,woo}                            | {ati,b#,bep,bep!,buc,buc!,c#,cin,cin!,com,com!,di,epp,inc,inn,kwo,mmo,mon,nat,nci,nna,okw,omm,ons,ood,ook,ppo,r#,roo,roo!,uca,woo}                        |     0.8125
 {b#,bep,bep!,buc,buc!,bus,c#,col,col!,di,epp,lum,mbu,olu,ppo,uca,umb}                                                                                         | {b#,bep,bep!,buc,buc!,bus,c#,col,col!,di,epp,lum,mbu,olu,ppo,uca,umb}                                                                                     |          1
 {a#,alt,alt!,b#,bep,bep!,buc,buc!,d#,diu,diu!,epp,lto,p#,pal,pal!,ppo,uca}                                                                                    | {a#,alo,alt,alt!,b#,bep,bep!,buc,buc!,di,epp,lto,p#,pal,pal!,ppo,uca}                                                                                     |   0.833333
 {apo,b#,bep,bep!,buc,buc!,di,eap,epp,inn,lis,m#,min,min!,nea,nne,oli,pol,ppo,uca}                                                                             | {apo,b#,bep,bep!,buc,buc!,eap,ei,epp,inn,lis,m#,min,min!,nea,nne,oli,pol,ppo,uca}                                                                         |       0.95
 {ang,ant,aur,b#,buc,buc!,cha,ckh,e#,est,exc,exc!,han,hor,kho,nge,orn,r#,ran,res,res!,sta,tau,uck,ura,xch}                                                     | {ang,ant,azi,b#,buc,buc!,cha,ckh,e#,est,exc,exc!,han,hor,ira,kho,nge,ntg,r#,ran,res,res!,sta,taz,uck,xch,zir}                                             |   0.814815
 {b#,buc,buc!,cvk,g#,gri,gri!,hor,kho,l,orn,ril,ucv,vkh}                                                                                                       | {b#,buc,buc!,ckh,g#,gri,gri!,hor,ill,kho,orn,ril,uck}                                                                                                     |   0.714286
 {ace,ala,b#,buc,buc!,c#,cry,cry!,cvk,lac,o#,owe,owe!,p#,pal,pal!,rys,s,srl,ucv,vkl,wen,ysr}                                                                   | {ace,ala,b#,buc,buc!,c#,cry,cry!,lac,o#,owe,owe!,p#,pal,pal!,rys,s,sta,tal,uck,web,yst}                                                                   |    0.73913
 {b#,buc,buc!,dsd,ods,of,ood,s,sde,uck,w#,woo,woo!}                                                                                                            | {b#,buc,buc!,dsd,ods,of,ood,sd,sde,uck,w#,woo,woo!}                                                                                                       |   0.923077
 {aut,b#,buc,buc!,est,r#,res,res!,s,sta,tau,tnt,uck,utn}                                                                                                       | {ant,aur,b#,buc,buc!,est,r#,ran,res,res!,s,sta,tau,uck,ura}                                                                                               |   0.733333
 {ant,aur,c#,chu,chu!,est,huy,r#,ran,res,res!,s,sta,tau,ura}                                                                                                   | {ant,aur,b#,buc,buc!,est,r#,ran,res,res!,s,sta,tau,uck,ura}                                                                                               |   0.733333
 {alo,b#,bil,bil!,bre,bre!,buf,buf!,fal,ffa,ill,p#,pub,pub!,rew,s,uff}                                                                                         | {alo,b#,bil,bil!,bre,bre!,buf,buf!,fal,ill,p#,pub,pub!,rew,s,ufa}                                                                                         |   0.882353
 {alo,b#,bsr,bsr!,buf,buf!,fal,ffa,g#,gri,gri!,ild,ill,ing,ngs,ril,uff,w#,wil,wil!,win,win!}                                                                   | {alo,b#,bar,bar!,buf,buf!,fal,ffa,g#,gri,gri!,ild,ill,ing,ngs,ril,uff,w#,wil,wil!,win,win!}                                                               |   0.909091
 {b#,bar,bar!,byl,byl!,dog,g#,gri,gri!,ill,ldo,lld,ril,yll}                                                                                                    | {b#,bar,bar!,bul,bul!,dog,g#,gri,gri!,ill,ldo,lld,ril,ull}                                                                                                |   0.785714
 {b#,bur,bur!,ger,ing,k#,kin,kin!,rge,urg}                                                                                                                     | {b#,bur,bur!,ege,ger,ing,k#,kin,kin!,reg,ure}                                                                                                             |   0.727273
 {b#,bur,bur!,ger,ing,k#,kin,kin!,rge,urg}                                                                                                                     | {b#,bur,bur!,ege,ger,ing,k#,kin,kin!,reg,ure}                                                                                                             |   0.727273
 {a#,akh,ald,and,and!,b#,bal,bal!,bro,bro!,byr,byr!,dwi,eak,hou,kho,ldw,ous,rea,ros,s#,sre,sre!,use,win,yrd}                                                   | {a#,ahd,ahd!,akh,ald,b#,bal,bal!,bro,bro!,byr,byr!,dak,dwi,eda,hou,kho,ldw,ous,ros,s#,ste,ste!,ted,use,win,yrd}                                           |   0.740741
 {ali,ant,aur,b#,bou,bou!,ega,est,i#,ian,ita,ita!,lia,out,r#,ran,res,res!,sta,tal,tau,teg,tte,ura,utt}                                                         | {ali,anc,ant,aur,b#,bia,bia!,ca,cvg,est,i#,ian,ita,ita!,lia,ncv,r#,ran,res,res!,sta,tal,tau,ura,vga}                                                      |       0.72
 {ali,anc,ant,aur,b#,bia,bia!,ca,est,i#,ian,ita,ita!,lin,nca,r#,ran,res,res!,sta,tal,tau,ura}                                                                  | {ali,anc,ant,aur,b#,bia,bia!,ca,cvg,est,i#,ian,ita,ita!,lia,ncv,r#,ran,res,res!,sta,tal,tau,ura,vga}                                                      |       0.84
 {abo,aco,c#,cab,cab!,f#,fis,fis!,ish,t#,tac,tac!}                                                                                                             | {abo,aco,c#,cab,cab!,cop,f#,fis,fis!,ish,t#,tac,tac!}                                                                                                     |   0.923077
 {abo,c#,cab,cab!,g#,gri,gri!,ill,m#,mex,mex!,mix,mix!,ril}                                                                                                    | {abo,c#,cab,cab!,g#,gri,gri!,ill,m#,me,mid,mid!,ril}                                                                                                      |   0.714286
