                                                                           show_trgm                                                                            |                                                                                    show_trgm                                                                                     | similarity |                         address                         |                       address                        
 {10,2nd,adelp,delph,elphi,hilad,ilade,ladel,lphia,p#,phila,phila!,s#,south,south!,stree,stree!,treet}                                                          | {138,2nd,adelp,delph,elphi,hilad,ilade,ladel,lphia,p#,phila,phila!,s#,south,south!,stree,stree!,treet}                                                                           |   0.944444 | 10 South 2nd Street Philadelphia                        | 138 South 2nd Street Philadelphia
 {10,2nd,adelp,delph,elphi,hilad,ilade,ladel,lphia,p#,phila,phila!,s#,south,south!,stree,stree!,treet}                                                          | {1516,adelp,ansom,delph,elphi,hilad,ilade,ladel,lphia,p#,phila,phila!,s#,sanso,sanso!,stree,stree!,treet}                                                                        |   0.777778 | 10 South 2nd Street Philadelphia                        | 1516 Sansom Street Philadelphia
 {100,1201,16th,d#,denve,denve!,enver,st}                                                                                                                       | {100,1201,16th,d#,denve,denve!,enver,st}                                                                                                                                         |          1 | 1201 16th St # 100 Denver                               | 1201 16th St # 100 Denver
 {100,14th,a#,arkwa,avenu,avenu!,d#,denve,denve!,enver,p#,parkw,parkw!,rkway,venue,west}                                                                        | {100,14th,a#,arkwa,avenu,avenu!,d#,denve,denve!,enver,p#,parkw,parkw!,rkway,venue,west}                                                                                          |          1 | 100 West 14th Avenue Parkway Denver                     | 100 West 14th Avenue Parkway Denver
 {100,1520,allas,d#,dalla,dalla!,elm,s#,stree,stree!,treet}                                                                                                     | {1520,allas,d#,dalla,dalla!,main,s#,stree,stree!,treet}                                                                                                                          |   0.818182 | 1520 Elm Street # 100 Dallas                            | 1520 Main Street Dallas
 {100,2900,a#,arlin,arlin!,b#,boule,boule!,evard,ilson,ingto,levar,lingt,ngton,oulev,rling,uleva,w#,wilso,wilso!}                                               | {1713,a#,arlin,arlin!,b#,boule,boule!,evard,ilson,ingto,levar,lingt,ngton,oulev,rling,uleva,w#,wilso,wilso!}                                                                     |        0.9 | 2900 Wilson Boulevard # 100 Arlington                   | 1713 Wilson Boulevard Arlington
 {100,afaye,ayett,b#,baton,baton!,fayet,l#,lafay,lafay!,r#,rouge,rouge!,st,yette}                                                                               | {100,afaye,ayett,b#,baton,baton!,fayet,l#,lafay,lafay!,r#,rouge,rouge!,s#,stree,stree!,treet,yette}                                                                              |   0.777778 | 100 Lafayette St. Baton Rouge                           | 100 Lafayette Street Baton Rouge
 {100,afaye,ayett,b#,baton,baton!,fayet,l#,lafay,lafay!,r#,rouge,rouge!,st,yette}                                                                               | {100,afaye,ayett,b#,baton,baton!,fayet,l#,lafay,lafay!,r#,rouge,rouge!,s#,stree,stree!,treet,yette}                                                                              |   0.777778 | 100 Lafayette St. Baton Rouge                           | 100 Lafayette Street Baton Rouge
 {100,aissa,c#,cente,cente!,d#,detro,detro!,enais,enter,etroi,issan,naiss,r#,renai,renai!,sance,ssanc,troit}                                                    | {100,aissa,c#,cente,cente!,d#,detro,detro!,enais,enter,etroi,issan,naiss,r#,renai,renai!,sance,ssanc,troit}                                                                      |          1 | 100 Renaissance Center Detroit                          | 100 Renaissance Center Detroit
 {1000,1e,altim,ancas,aster,b#,balti,balti!,caste,imore,l#,lanca,lanca!,ltimo,ncast,s#,stree,stree!,timor,treet}                                                | {1000,1e,altim,ancas,aster,b#,balti,balti!,caste,imore,l#,lanca,lanca!,ltimo,ncast,st,timor}                                                                                     |        0.8 | 1000 Lancaster Street # 1E Baltimore                    | 1000 Lancaster St # 1E Baltimore
 {1000,acram,ament,crame,f#,front,front!,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                        | {1000,acram,ament,crame,f#,front,front!,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                                          |          1 | 1000 Front Street Sacramento                            | 1000 Front Street Sacramento
 {1000,acram,ament,crame,f#,front,front!,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                        | {1015,acram,ament,crame,f#,front,front!,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                                          |   0.933333 | 1000 Front Street Sacramento                            | 1015 Front Street Sacramento
 {1000,acram,ament,crame,f#,front,front!,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                        | {1110,acram,ament,crame,f#,front,front!,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                                          |   0.933333 | 1000 Front Street Sacramento                            | 1110 Front Street Sacramento
 {1000,d#,denve,denve!,enver,o#,osage,osage!,s#,stree,stree!,treet}                                                                                             | {1000,d#,denve,denve!,enver,o#,osage,osage!,s#,stree,stree!,treet}                                                                                                               |          1 | 1000 Osage Street Denver                                | 1000 Osage Street Denver
 {1000,d#,denve,denve!,enver,o#,osage,osage!,s#,stree,stree!,treet}                                                                                             | {1365,d#,denve,denve!,enver,o#,osage,osage!,s#,stree,stree!,treet}                                                                                                               |   0.916667 | 1000 Osage Street Denver                                | 1365 Osage Street Denver
 {1001,160,ave,ortla,p#,portl,portl!,rtlan,se,tland,w#,water,water!}                                                                                            | {1001,160,ave,ortla,p#,portl,portl!,rtlan,se,tland,w#,water,water!}                                                                                                              |          1 | 1001 SE Water Ave # 160 Portland                        | 1001 SE Water Ave # 160 Portland
 {1001,altim,athed,b#,balti,balti!,c#,cathe,cathe!,edral,hedra,imore,ltimo,s#,stree,stree!,thedr,timor,treet}                                                   | {1001,altim,athed,b#,balti,balti!,c#,cathe,cathe!,edral,hedra,imore,ltimo,s#,stree,stree!,thedr,timor,treet}                                                                     |          1 | 1001 Cathedral Street Baltimore                         | 1001 Cathedral Street Baltimore
 {1010,apoli,colle,eapol,icoll,innea,m#,mall,minne,minne!,n#,neapo,nicol,nicol!,nneap,ollet,polis}                                                              | {1010,apoli,colle,eapol,icoll,innea,m#,mall,minne,minne!,n#,neapo,nicol,nicol!,nneap,ollet,polis}                                                                                |          1 | 1010 Nicollet Mall Minneapolis                          | 1010 Nicollet Mall Minneapolis
 {1015,a#,albuq,albuq!,blvd,buque,erque,g#,grand,grand!,hwest,lbuqu,n#,north,north!,orthw,querq,rande,rio,rthwe,thwes,uerqu,uquer}                              | {1015,a#,albuq,albuq!,b#,boule,boule!,buque,erque,evard,g#,grand,grand!,hwest,lbuqu,levar,n#,north,north!,orthw,oulev,querq,rande,rio,rthwe,thwes,uerqu,uleva,uquer}             |   0.758621 | 1015 Rio Grande Blvd Northwest Albuquerque              | 1015 Rio Grande Boulevard Northwest Albuquerque
 {1019,ackso,ave,ckson,drick,endri,h#,hendr,hendr!,j#,jacks,jacks!,ksonv,ndric,nvill,onvil,ricks,sonvi,ville}                                                   | {1019,a#,ackso,avenu,avenu!,ckson,drick,endri,h#,hendr,hendr!,j#,jacks,jacks!,ksonv,ndric,nvill,onvil,ricks,sonvi,venue,ville}                                                   |   0.818182 | 1019 Hendricks Ave Jacksonville                         | 1019 Hendricks Avenue Jacksonville
 {1034,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                     | {1001,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                                       |   0.909091 | 1034 B Street Hayward                                   | 1001 B Street Hayward
 {1034,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                     | {1034,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                                       |          1 | 1034 B Street Hayward                                   | 1034 B Street Hayward
 {1047,b#,buffa,buffa!,ffalo,main,s#,stree,stree!,treet,uffal}                                                                                                  | {1047,b#,buffa,buffa!,ffalo,main,s#,stree,stree!,treet,uffal}                                                                                                                    |          1 | 1047 Main Street Buffalo                                | 1047 Main Street Buffalo
 {106,1580,a#,aheim,anahe,anahe!,d#,disne,disne!,drive,drive!,eylan,isney,nahei,neyla,s,sneyl,yland}                                                            | {106,1580,a#,aheim,anahe,anahe!,d#,disne,disne!,dr,eylan,isney,nahei,neyla,s,sneyl,yland}                                                                                        |   0.888889 | 1580 S Disneyland Drive # 106 Anaheim                   | 1580 S Disneyland Dr # 106 Anaheim
 {106,1580,a#,aheim,anahe,anahe!,d#,disne,disne!,drive,drive!,eylan,isney,nahei,neyla,s,sneyl,yland}                                                            | {1515,a#,aheim,anahe,anahe!,d#,disne,disne!,drive,drive!,eylan,isney,nahei,neyla,s,sneyl,yland}                                                                                  |   0.888889 | 1580 S Disneyland Drive # 106 Anaheim                   | 1515 S. Disneyland Drive Anaheim
 {106,1580,a#,aheim,anahe,anahe!,d#,disne,disne!,drive,drive!,eylan,isney,nahei,neyla,s,sneyl,yland}                                                            | {1530,a#,aheim,anahe,anahe!,d#,disne,disne!,drive,drive!,eylan,isney,nahei,neyla,sneyl,yland}                                                                                    |   0.833333 | 1580 S Disneyland Drive # 106 Anaheim                   | 1530 Disneyland Drive Anaheim
 {106,1580,a#,aheim,anahe,anahe!,d#,disne,disne!,drive,drive!,eylan,isney,nahei,neyla,s,sneyl,yland}                                                            | {1590,a#,aheim,anahe,anahe!,d#,disne,disne!,dr,eylan,isney,nahei,neyla,s,sneyl,yland}                                                                                            |   0.777778 | 1580 S Disneyland Drive # 106 Anaheim                   | 1590 s disneyland dr Anaheim
 {1071,c#,celes,celes!,cinci,cinci!,cinna,elest,estia,incin,innat,lesti,ncinn,nnati,st,stial}                                                                   | {1071,c#,celes,celes!,cinci,cinci!,cinna,elest,estia,incin,innat,lesti,ncinn,nnati,s#,stial,stree,stree!,treet}                                                                  |   0.789474 | 1071 Celestial St. Cincinnati                           | 1071 Celestial Street Cincinnati
 {108,ackso,ckson,east,f#,forsy,forsy!,j#,jacks,jacks!,ksonv,nvill,onvil,orsyt,rsyth,s#,sonvi,stree,stree!,treet,ville}                                         | {108,ackso,ckson,east,f#,forsy,forsy!,j#,jacks,jacks!,ksonv,nvill,onvil,orsyt,rsyth,s#,sonvi,stree,stree!,treet,ville}                                                           |          1 | 108 East Forsyth Street Jacksonville                    | 108 East Forsyth Street Jacksonville
 {1082,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                     | {1001,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                                       |   0.909091 | 1082 B Street Hayward                                   | 1001 B Street Hayward
 {1082,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                     | {1034,aywar,b,h#,haywa,haywa!,s#,stree,stree!,treet,yward}                                                                                                                       |   0.909091 | 1082 B Street Hayward                                   | 1034 B Street Hayward
 {1090,ancis,ave,cisco,f#,franc,franc!,l#,lobos,lobos!,ncisc,p#,point,point!,ranci,san}                                                                         | {1090,a#,ancis,avenu,avenu!,cisco,f#,franc,franc!,l#,lobos,lobos!,ncisc,p#,point,point!,ranci,san,venue}                                                                         |   0.789474 | 1090 Point Lobos Ave San Francisco                      | 1090 Point Lobos Avenue San Francisco
 {110,east,ennin,ingto,ngton,ningt,nning,p#,penni,penni!,st,t#,tucso,tucso!,ucson}                                                                              | {110,east,ennin,ingto,ngton,ningt,nning,p#,penni,penni!,s#,stree,stree!,t#,treet,tucso,tucso!,ucson}                                                                             |   0.777778 | 110 East Pennington St. Tucson                          | 110 East Pennington Street Tucson
 {1100,8th,a#,ancho,ancho!,ave,chora,horag,nchor,orage,west}                                                                                                    | {1100,8th,a#,ancho,ancho!,avenu,avenu!,chora,horag,nchor,orage,venue,west}                                                                                                       |   0.769231 | 1100 West 8th Ave Anchorage                             | 1100 West 8th Avenue Anchorage
 {1100,a#,aheim,anahe,anahe!,atell,avenu,avenu!,k#,katel,katel!,nahei,tella,venue,west}                                                                         | {1100,a#,aheim,anahe,anahe!,atell,avenu,avenu!,k#,katel,katel!,nahei,tella,venue,west}                                                                                           |          1 | 1100 West Katella Avenue Anaheim                        | 1100 West Katella Avenue Anaheim
 {1100,a#,aheim,anahe,anahe!,atell,avenu,avenu!,k#,katel,katel!,nahei,tella,venue,west}                                                                         | {1105,a#,aheim,anahe,anahe!,atell,avenu,avenu!,east,k#,katel,katel!,nahei,tella,venue}                                                                                           |   0.866667 | 1100 West Katella Avenue Anaheim                        | 1105 East Katella Avenue Anaheim
 {1101,a#,arlin,arlin!,ghlan,h#,highl,highl!,hland,ighla,ingto,lingt,n#,ngton,north,north!,rling,st}                                                            | {1101,a#,arlin,arlin!,ghlan,h#,highl,highl!,hland,ighla,ingto,lingt,n#,ngton,north,north!,rling,s#,stree,stree!,treet}                                                           |   0.809524 | 1101 North Highland St. Arlington                       | 1101 North Highland Street Arlington
 {1104,ave,b#,buffa,buffa!,e#,elmwo,elmwo!,ffalo,lmwoo,mwood,uffal}                                                                                             | {1116,a,ave,b#,buffa,buffa!,e#,elmwo,elmwo!,ffalo,lmwoo,mwood,uffal}                                                                                                             |   0.846154 | 1104 Elmwood Ave Buffalo                                | 1116 Elmwood Ave # A Buffalo
 {1106,altim,arles,b#,balti,balti!,c#,charl,charl!,harle,imore,ltimo,n#,north,north!,st,timor}                                                                  | {1106,altim,arles,b#,balti,balti!,c#,charl,charl!,harle,imore,ltimo,n#,north,north!,s#,stree,stree!,timor,treet}                                                                 |        0.8 | 1106 North Charles St. Baltimore                        | 1106 North Charles Street Baltimore
 {1117,11th,acram,ament,crame,mento,ramen,s#,sacra,sacra!,st}                                                                                                   | {1029,acram,ament,crame,k,mento,ramen,s#,sacra,sacra!,st}                                                                                                                        |   0.818182 | 1117 11th St. Sacramento                                | 1029 K St Sacramento
 {1117,11th,acram,ament,crame,mento,ramen,s#,sacra,sacra!,st}                                                                                                   | {1117,11th,acram,ament,crame,mento,ramen,s#,sacra,sacra!,stree,stree!,treet}                                                                                                     |   0.769231 | 1117 11th St. Sacramento                                | 1117 11th Street Sacramento
 {1117,11th,acram,ament,crame,mento,ramen,s#,sacra,sacra!,st}                                                                                                   | {1131,acram,ament,crame,k,mento,ramen,s#,sacra,sacra!,st}                                                                                                                        |   0.818182 | 1117 11th St. Sacramento                                | 1131 K St Sacramento
 {112,3rd,apoli,eapol,innea,m#,minne,minne!,n#,neapo,nneap,north,north!,polis,st}                                                                               | {112,3rd,apoli,eapol,innea,m#,minne,minne!,n#,neapo,nneap,north,north!,polis,st}                                                                                                 |          1 | 112 North 3rd St Minneapolis                            | 112 North 3rd St Minneapolis
 {112,a#,albuq,albuq!,buque,erque,lbuqu,nw,omero,querq,r#,romer,romer!,st,uerqu,uquer}                                                                          | {112,a#,albuq,albuq!,buque,erque,lbuqu,nw,omero,querq,r#,romer,romer!,st,uerqu,uquer}                                                                                            |          1 | 112 Romero St NW Albuquerque                            | 112 Romero St NW Albuquerque
